,A1,A10,A6,E1,E19P,E19S,E19V,E20P,E20S,E20T,RES,S19,S1M,S1S,S20,S9M,STBY
2020-01-03 03:30:00,1.5754,17.274,8.3532,0.63,278.7071,221.3109,35.0774,1064.3177,544.1585,3757.857,0.63,102.5393,102.5393,102.5393,102.5393,102.5393,102.5393
2020-01-03 04:00:00,1.5975,18.329,8.4109,0.6375,281.9949,228.4463,35.8635,1077.1962,558.2441,3800.7134,0.6375,98.4741,98.4741,98.4741,98.4741,98.4741,98.4741
2020-01-03 04:30:00,1.65,18.8813,8.8918,0.6497,287.7701,233.9378,36.7203,1090.9169,572.4639,3860.4065,0.6497,105.1162,105.1162,105.1162,105.1162,105.1162,105.1162
2020-01-03 05:00:00,1.7448,20.7467,9.6563,0.6764,297.6264,246.3821,38.2223,1114.3876,597.5144,3907.0108,0.6764,107.997,107.997,107.997,107.997,107.997,107.997
2020-01-03 05:30:00,1.8095,22.3638,10.0298,0.7153,307.4998,254.92,39.49,1140.443,624.9265,3898.3818,0.7153,99.478,99.478,99.478,99.478,99.478,99.478
2020-01-03 06:00:00,1.9307,24.7264,10.9577,0.753,322.6429,270.0953,41.5846,1172.6152,668.3688,3957.3118,0.753,109.0386,109.0386,109.0386,109.0386,109.0386,109.0386
2020-01-03 06:30:00,2.082,26.3599,11.6214,0.7852,332.3998,279.9979,42.7721,1195.455,696.816,3989.4939,0.7852,95.4936,95.4936,95.4936,95.4936,95.4936,95.4936
2020-01-03 07:00:00,2.2213,28.3811,13.1444,0.8293,340.3777,290.9382,43.9617,1210.0497,728.2659,3982.0122,0.8293,78.0074,78.0074,78.0074,78.0074,78.0074,78.0074
2020-01-03 07:30:00,2.3188,29.1685,13.2881,0.8386,338.0096,292.7479,43.9631,1210.6968,743.235,3970.888,0.8386,43.6788,43.6788,43.6788,43.6788,43.6788,43.6788
2020-01-03 08:00:00,2.5093,30.1733,11.4767,0.8482,335.3723,295.6687,44.5842,1217.3877,764.0014,3938.9761,0.8482,49.7858,49.7858,49.7858,49.7858,49.7858,49.7858
2020-01-03 08:30:00,2.6159,30.5431,9.758,0.8006,328.9672,297.2145,45.0805,1210.2097,775.7166,3882.1419,0.8006,31.6927,31.6927,31.6927,31.6927,31.6927,31.6927
2020-01-03 09:00:00,2.7329,30.7714,8.4686,0.7721,319.9178,299.4246,45.3586,1207.6382,782.2176,3833.772,0.7721,60.3672,60.3672,60.3672,60.3672,60.3672,60.3672
2020-01-03 09:30:00,2.798,31.358,7.7631,0.7679,317.2733,300.3144,45.5975,1202.2607,792.5703,3842.809,0.7679,44.6895,44.6895,44.6895,44.6895,44.6895,44.6895
2020-01-03 10:00:00,2.8544,32.1681,7.0587,0.7547,318.3423,298.9702,45.5954,1195.5341,791.3865,3840.1622,0.7547,48.927,48.927,48.927,48.927,48.927,48.927
2020-01-03 10:30:00,2.8609,32.5345,6.1831,0.7166,312.5111,298.044,45.9531,1207.0336,789.6112,3881.7765,0.7166,56.9085,56.9085,56.9085,56.9085,56.9085,56.9085
2020-01-03 11:00:00,2.8607,32.3876,6.0178,0.7131,307.7256,298.4054,45.9271,1201.3775,792.813,3924.3004,0.7131,40.6121,40.6121,40.6121,40.6121,40.6121,40.6121
2020-01-03 11:30:00,2.8329,32.3753,5.6365,0.6976,307.7983,299.5542,45.9386,1207.1379,801.8257,3975.4367,0.6976,54.0911,54.0911,54.0911,54.0911,54.0911,54.0911
2020-01-03 12:00:00,2.753,32.1185,5.6255,0.6827,308.7469,300.5819,45.6984,1208.4424,802.5744,3965.5004,0.6827,35.1502,35.1502,35.1502,35.1502,35.1502,35.1502
2020-01-03 12:30:00,2.7439,32.2933,5.6273,0.6794,312.7697,302.0014,45.8947,1205.3455,807.6797,3911.1889,0.6794,54.7522,54.7522,54.7522,54.7522,54.7522,54.7522
